Wendys,,1480 Freedom Blvd,Watsonville,CA,95076,santa cruz,-1.21767117400000E+002,+3.69297641000000E+001
Subway,,2215 Mission St,Santa Cruz,CA,95060,Santa cruz,-1.22045768737790E+002,+3.69615249633790E+001
Subway,,231 Mount Hermon Rd,Scotts Valley,CA,95066,Santa cruz,-1.22028314757550E+002,+3.70452588299950E+001
Subway,,825 Pacific Ave,Santa Cruz,CA,95060,Santa cruz,-1.22025320000000E+002,+3.69699800000000E+001
Subway,,2215 Mission St,Santa Cruz,CA,95060,Santa cruz,-1.22045768737790E+002,+3.69615249633790E+001
Subway,,2740 41st Ave,Soquel,CA,95073,Santa cruz,-1.21964569000000E+002,+3.69869040000000E+001
Subway,,231 Mount Hermon Rd,Scotts Valley,CA,95066,Santa cruz,-1.22028314757550E+002,+3.70452588299950E+001
Subway,,231 Mount Hermon Rd,Scotts Valley,CA,95066,Santa cruz,-1.22028314757550E+002,+3.70452588299950E+001
Subway,,2215 Mission St,Santa Cruz,CA,95060,Santa cruz,-1.22045768737790E+002,+3.69615249633790E+001
Subway,,2740 41st Ave,Soquel,CA,95073,Santa cruz,-1.21964569000000E+002,+3.69869040000000E+001
Subway,,7 Second St,Watsonville,CA,95076,Santa cruz,-1.21755729700000E+002,+3.69089241000000E+001
Subway,,1063 S Green Valley Rd,Watsonville,CA,95076,Santa cruz,-1.21784427300000E+002,+3.69176052000000E+001
Subway,,1964 Freedom Blvd,Freedom,CA,95019,Santa cruz,-1.21776552000000E+002,+3.69377612000000E+001
Subway,,231 Mount Hermon Rd,Scotts Valley,CA,95066,Santa cruz,-1.22028314757550E+002,+3.70452588299950E+001
Subway,,2215 Mission St,Santa Cruz,CA,95060,Santa cruz,-1.22045768737790E+002,+3.69615249633790E+001
Subway,,1723 Soquel Ave,Santa Cruz,CA,95062,Santa cruz,-1.22001777600000E+002,+3.69816704000000E+001
Subway,,231 Mount Hermon Rd,Scotts Valley,CA,95066,Santa cruz,-1.22028314757550E+002,+3.70452588299950E+001
Subway,,540 N Santa Cruz Ave,Los Gatos,CA,95030,Santa cruz,-1.21978622944360E+002,+3.72333868621050E+001
